"","sample","cell_type","composition","integrate"
"146","MOCC-0003-B","CD8+ T-cells",2.91907431143892e-19,"Y"
"147","MOCC-0003-B","CD8+ Tcm",0,"Y"
"148","MOCC-0003-B","CD8+ Tem",0,"Y"
"149","MOCC-0003-B","cDC",0.00100525331264537,"Y"
"150","MOCC-0003-B","Chondrocytes",0.0121724930958272,"Y"
"151","MOCC-0003-B","Class-switched memory B-cells",0.00810364269905882,"Y"
"152","MOCC-0003-B","CLP",0.069235357483837,"Y"
"153","MOCC-0003-B","CMP",0,"Y"
"154","MOCC-0003-B","DC",0.00821316248163739,"Y"
"155","MOCC-0003-B","Endothelial cells",0,"Y"
"156","MOCC-0003-B","Eosinophils",9.32016803789115e-19,"Y"
"157","MOCC-0003-B","Epithelial cells",0.59999210948074,"Y"
"158","MOCC-0003-B","Erythrocytes",1.13875532905967e-19,"Y"
"159","MOCC-0003-B","Fibroblasts",0,"Y"
"160","MOCC-0003-B","GMP",1.38615730742272e-18,"Y"
"161","MOCC-0003-B","Hepatocytes",0,"Y"
"162","MOCC-0003-B","HSC",0.0453138782312663,"Y"
"163","MOCC-0003-B","iDC",0.0432111462255508,"Y"
"164","MOCC-0003-B","Keratinocytes",0.309169440897349,"Y"
"165","MOCC-0003-B","ly Endothelial cells",0,"Y"
"166","MOCC-0003-B","Macrophages",0.037400091720723,"Y"
"167","MOCC-0003-B","Macrophages M1",0.0293089749076626,"Y"
"168","MOCC-0003-B","Macrophages M2",0.00671756529591862,"Y"
"169","MOCC-0003-B","Mast cells",0.00594546747993722,"Y"
"170","MOCC-0003-B","Megakaryocytes",0.00364820701066854,"Y"
"171","MOCC-0003-B","Melanocytes",0,"Y"
"172","MOCC-0003-B","Memory B-cells",5.81205676341217e-18,"Y"
"173","MOCC-0003-B","MEP",0.01554384879627,"Y"
"174","MOCC-0003-B","Mesangial cells",0.00710921845720767,"Y"
"175","MOCC-0003-B","Monocytes",0.00573406126197654,"Y"
"176","MOCC-0003-B","MPP",3.55956619551772e-18,"Y"
"177","MOCC-0003-B","MSC",0.0305738105598432,"Y"
"178","MOCC-0003-B","mv Endothelial cells",0,"Y"
"179","MOCC-0003-B","Myocytes",0.0188234908283862,"Y"
"180","MOCC-0003-B","naive B-cells",0.00113995293691264,"Y"
"181","MOCC-0003-B","Neurons",0.00274799267667303,"Y"
"182","MOCC-0003-B","Neutrophils",0.000402131744554001,"Y"
"183","MOCC-0003-B","NK cells",0,"Y"
"184","MOCC-0003-B","NKT",0,"Y"
"185","MOCC-0003-B","Osteoblast",0.0235886848865399,"Y"
"186","MOCC-0003-B","pDC",0.0102353628946041,"Y"
"187","MOCC-0003-B","Pericytes",0.0352241301182363,"Y"
"188","MOCC-0003-B","Plasma cells",0.0140897938737567,"Y"
"189","MOCC-0003-B","Platelets",0,"Y"
"190","MOCC-0003-B","Preadipocytes",0,"Y"
"191","MOCC-0003-B","pro B-cells",0.0198067193746847,"Y"
"192","MOCC-0003-B","Sebocytes",0.271437356533081,"Y"
"193","MOCC-0003-B","Skeletal muscle",0.00265031853086997,"Y"
"194","MOCC-0003-B","Smooth muscle",0.135698299288029,"Y"
"195","MOCC-0003-B","Tgd cells",0.00868698249601137,"Y"
"196","MOCC-0003-B","Th1 cells",1.27638651140478e-18,"Y"
"197","MOCC-0003-B","Th2 cells",0.269769020712818,"Y"
"198","MOCC-0003-B","Tregs",0.0177010476773659,"Y"
"199","MOCC-0003-B","ImmuneScore",0.0463420193355242,"Y"
"200","MOCC-0003-B","StromaScore",0.00123611849579832,"Y"
"201","MOCC-0003-B","MicroenvironmentScore",0.0475781378313225,"Y"
