"","Row.names","anno","logFC_RNA","pvalue_RNA","logFC_protein","pvalue_protein","group","size","alpha"
"515","CASP14",NA,0.744469921590838,0.516097930811182,0.256241821971108,0.677627633048823,"stable",0.5,0.1
"516","CASP3",NA,0.119611984458598,0.619934378758149,0.512220532857143,0.0618822031541801,"stable",0.5,0.1
"517","CASP4",NA,0.473018866913715,0.155099374509052,0.44187247929695,0.00858668104894635,"stable",0.5,0.1
"518","CASP6",NA,-0.100412480649252,0.714857577545175,-0.269005273337079,0.0843073571928418,"stable",0.5,0.1
"519","CASP7",NA,0.260856179618784,0.295479406748602,0.0717535241958266,0.636877493993761,"stable",0.5,0.1
"520","CASP8",NA,0.221036846724793,0.401396722827142,0.0614418941573034,0.646968643000891,"stable",0.5,0.1
"521","CAST",NA,-0.248461681628052,0.300002298318185,-0.043764788799358,0.816140656926524,"stable",0.5,0.1
"522","CAT",NA,-0.0115077596515931,0.96777929619599,-0.118102021158909,0.871263677385501,"stable",0.5,0.1
"523","CAV1",NA,0.111156231570591,0.782197728523274,-0.426541181670947,0.568195995424112,"stable",0.5,0.1
"524","CAV2",NA,0.28997308326211,0.414136605977095,-0.222020597728732,0.5214132595601,"stable",0.5,0.1
"525","CAVIN1",NA,-0.512711675621558,0.290004122411533,-0.301440822186196,0.740528976663858,"stable",0.5,0.1
"526","CAVIN3",NA,-0.186615818464472,0.590567413480299,-0.301306701865169,0.577787943396315,"stable",0.5,0.1
"527","CBFB",NA,-0.0201084279161209,0.914098994346982,0.0541918314895666,0.871263677385501,"stable",0.5,0.1
"528","CBR1",NA,0.896517201092509,0.0236968804887958,0.0352999652744783,0.729910538026043,"stable",0.5,0.1
"529","CBX1",NA,-0.360611990826986,0.175678434588064,0.0714708101573034,0.849123586022121,"stable",0.5,0.1
"530","CBX3",NA,0.639879881906408,0.0231605881397469,0.148559718606742,0.256637318162585,"stable",0.5,0.1
"531","CBX5",NA,-0.66596067753297,0.0300417978196373,-0.0790991181621188,0.549243848253908,"stable",0.5,0.1
"532","CC2D1A",NA,-0.153148580458985,0.597545244946835,0.0605085227833066,0.740528976663858,"stable",0.5,0.1
"533","CC2D1B",NA,-0.444107512594799,0.00785789291881845,-0.226337113545746,0.0376621313944977,"stable",0.5,0.1
"534","CCAR1",NA,0.394444925619793,0.210471024088497,0.0963152033001605,0.512300342558165,"stable",0.5,0.1
"535","CCAR2",NA,-0.592104103708353,0.00256137315408835,-0.000946040452648456,0.893505111345828,"stable",0.5,0.1
"536","CCDC12",NA,0.209760193748544,0.285769002077569,0.209733874645265,0.327398597440514,"stable",0.5,0.1
