"","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FoldChange"
"PYY",0.537790040931893,0.103398089351895,4.10785057875528,8.37230907299712e-05,0.0564121891846714,1.34151087107344,-0.537790040931893
"PCDHGB7",0.638055271107237,0.385406244933569,4.07874873717725,9.31690968398965e-05,0.0601214564916112,1.24514090448578,-0.638055271107237
"CA6",0.901581186591632,0.169358741606482,4.07235246487277,9.53781438669462e-05,0.0601214564916112,1.22402297536591,-0.901581186591632
"NKD1",1.12117976139469,0.638000711872668,4.06317209722934,9.86366790411627e-05,0.0601214564916112,1.19375301224531,-1.12117976139469
"ZNF492",0.168478439044608,0.0610049380747022,4.05877928399772,0.000100233388868564,0.0601214564916112,1.17928549096026,-0.168478439044608
"LINC00443",0.188540738820652,0.0649550511265352,4.04620303967176,0.000104942799598998,0.0601214564916112,1.13792606912891,-0.188540738820652
"ACSM1",1.03737332208276,0.373927873343471,4.0411584321425,0.000106890820091148,0.0601214564916112,1.12136087145059,-1.03737332208276
"TNFRSF10C",0.793445291288575,0.703851954407459,4.04001404056558,0.00010733753429875,0.0601214564916112,1.11760497611953,-0.793445291288575
"WDR63",0.530607613644376,0.240897428209685,4.03951897771586,0.000107531336292934,0.0601214564916112,1.11598040744874,-0.530607613644376
"ADH6",0.393994641565279,0.17187085393536,3.99844250129461,0.000124833507030128,0.0683411437028687,0.981668946909677,-0.393994641565279
"LINC02501",0.0730866088480598,0.0110852148759758,3.95149018330694,0.000147874240078008,0.0767683662759488,0.829322034244965,-0.0730866088480598
"LOC105374802",0.130190884124127,0.0164540455944936,3.94930867664421,0.000149038062275574,0.0767683662759488,0.822274437700504,-0.130190884124127
"TRPM8",0.389500627970259,0.13191943874829,3.94439050304898,0.000151694093043834,0.0767683662759488,0.806395809796955,-0.389500627970259
"CRISP3",1.56202874875171,0.621987830549085,3.93894400979047,0.000154688229102388,0.0767683662759488,0.788827769076792,-1.56202874875171
"CDKN3",-1.48580575660427,5.97904399905128,-3.9386817284972,0.000154833831061165,0.0767683662759488,0.78798219535758,1.48580575660427
"DACT2",0.984879371653051,0.568725952292619,3.92013591880485,0.000165468040889501,0.0769311725679945,0.728293021334808,-0.984879371653051
"ABHD12B",1.28727790832572,0.377298875294477,3.91038560063416,0.000171335240282373,0.0769311725679945,0.69699199100615,-1.28727790832572
"SIM1",0.285779163499045,0.0341095664140231,3.90992834270697,0.000171615214095977,0.0769311725679945,0.695525433796821,-0.285779163499045
"ROBO2",0.85320320372949,0.599980151082599,3.90937848155923,0.000171952466482547,0.0769311725679945,0.693762032837405,-0.85320320372949
"FILIP1",0.436270550181025,0.345520915332038,3.90589844668,0.00017410164025096,0.0769311725679945,0.682605671484003,-0.436270550181025
"PPP1R9A",0.501287901172414,0.162067230048926,3.90545217887744,0.000174379091662258,0.0769311725679945,0.681175528561437,-0.501287901172414
"SHISAL2B",0.2426403330372,0.0371364925547662,3.90340812742618,0.00017565531448663,0.0769311725679945,0.674626494279876,-0.2426403330372
"ARMC4",0.636032808761099,0.413417665443605,3.88913366471874,0.000184819564529352,0.0796178445361033,0.628959898486298,-0.636032808761099
"NRP2",1.37037182883304,2.82808420245512,3.87740408089801,0.000192689864003733,0.0804297585878648,0.591524136163351,-1.37037182883304
"FGFRL1",1.26690801367466,1.52150565220415,3.8772056194234,0.000192825739821732,0.0804297585878648,0.590891427543156,-1.26690801367466
"EDAR",0.859182395094396,0.690101939687639,3.85167980295951,0.00021108502665776,0.0866701926642598,0.509706685755431,-0.859182395094396
"PEBP4",0.359459235878781,0.161035581618286,3.84089393413819,0.000219286095602339,0.0882629406138362,0.475517923204164,-0.359459235878781
"NCMAP",0.76052530818644,0.274939640294766,3.83781571909856,0.000221681790110099,0.0882629406138362,0.46577332119531,-0.76052530818644
"CDH22",0.405313761348974,0.148638187740867,3.82419489159452,0.000232585214228296,0.0912220038730022,0.422721862780897,-0.405313761348974
"NME5",1.03310476579016,0.589515967717234,3.80263755382451,0.000250892731732916,0.0969552824187877,0.354811307512596,-1.03310476579016
"MYOCOS",0.182435691549632,0.0445230236747075,3.75830167903791,0.000292948883368203,0.110352480345505,0.216019123415522,-0.182435691549632
"SLC9A4",0.501018659685226,0.175503944853354,3.75415304855104,0.000297210320846995,0.110352480345505,0.203092616099016,-0.501018659685226
"LRIT2",0.107092528754965,0.0184331411971352,3.7490734152676,0.000302508388056751,0.110352480345505,0.187279443514663,-0.107092528754965
"LRRTM1",0.806772616629064,0.229769627981202,3.74861058631356,0.000302995558779779,0.110352480345505,0.185839409634978,-0.806772616629064
"KIF13B",1.05431951895985,1.31697022769827,3.74524749694641,0.00030655799776322,0.110352480345505,0.175379484897054,-1.05431951895985
"PADI4",0.870147244556153,0.319214897253779,3.73989309699548,0.00031231208833207,0.110554808776912,0.158740330646475,-0.870147244556153
"PRB2",0.322194749694272,0.0678645038529741,3.73609518269656,0.000316455595787039,0.110554808776912,0.146948622753539,-0.322194749694272
"DKK4",2.01709668239256,0.990049492681755,3.72804447344403,0.000325412331047957,0.110554808776912,0.121981930119024,-2.01709668239256
"DNAJB13",1.2729255539273,0.75082669063017,3.72725165687478,0.000326307287015762,0.110554808776912,0.119525399738111,-1.2729255539273
"VWA2",1.24980272534969,1.09894192405344,3.72505460438853,0.000328799627347657,0.110554808776912,0.112719868144348,-1.24980272534969
"CDKN2A",-1.50687999547705,9.13928999049225,-3.72194091307497,0.000332362808941931,0.110554808776912,0.10308002495051,1.50687999547705
"GAL3ST1",0.784350686865314,0.319917945661028,3.71819332149019,0.000336700063642259,0.110597553404891,0.0914855060299589,-0.784350686865314
"PCDHB11",0.40678825167268,0.272485423826903,3.70378069479783,0.000353886769223932,0.114807858292179,0.046974917858269,-0.40678825167268
"KRTAP4-5",0.04200861104363,0.00607947278722354,3.69082969678484,0.000370038364952247,0.116670817458142,0.00708693347213796,-0.04200861104363
"TMEM72",0.188227268976709,0.0296151587456929,3.68892873139661,0.00037246722029392,0.116670817458142,0.00124079614507,-0.188227268976709
"SOX5-AS1",0.0615294400663116,0.00690744691916528,3.68855321415495,0.000372948803808659,0.116670817458142,8.62115434117072e-05,-0.0615294400663116
"HS3ST1",1.2083205667176,2.15959447670069,3.6831506952485,0.000379943043058175,0.117460509240973,-0.0165150401671852,-1.2083205667176
"IL17C",0.662828408327868,0.280005183834394,3.67913740111508,0.000385219159636477,0.117706849731713,-0.0288357382509163,-0.662828408327868
"ABCA12",0.855981554561134,0.86209603545277,3.67087569341551,0.000396300196271368,0.119002383666189,-0.0541676537958145,-0.855981554561134
"FLRT3",1.17548145254938,0.985783365739679,3.66924980962322,0.00039851624030081,0.119002383666189,-0.0591479468432254,-1.17548145254938
"IQCH",0.607867188719547,0.760329021163995,3.66200004877362,0.000408541373899662,0.120007067723125,-0.0813350020093209,-0.607867188719547
"SOX17",1.50423321781276,1.18516208540784,3.65998921512238,0.000411364097644907,0.120007067723125,-0.0874831611248856,-1.50423321781276
"MUC19",0.263003809186856,0.0884325185467764,3.65700930198405,0.000415581214811036,0.120007067723125,-0.0965896891782032,-0.263003809186856
"UNC119B",0.796844024692294,2.47577326954392,3.65138580958965,0.000423651413172306,0.120219409419512,-0.113759913565332,-0.796844024692294
"DPP10-AS1",0.314728817822317,0.0690794521075649,3.65013511264168,0.000425466362585226,0.120219409419512,-0.11757600134646,-0.314728817822317
"PHLDA1",1.70524494265813,3.72551466931274,3.63968544784525,0.000440921165200802,0.122522489302999,-0.149421693274932,-1.70524494265813
"SGCG",0.220574387054332,0.0725112909954976,3.63161066872626,0.000453226481809468,0.122522489302999,-0.173983279619451,-0.220574387054332
"CXCL14",2.64450854295963,5.84105227206574,3.63114677504593,0.000453943214124,0.122522489302999,-0.175393100591764,-2.64450854295963
"ADGRG2",0.664064658370896,0.210751332876116,3.6304153739467,0.000455075437158603,0.122522489302999,-0.177615631575201,-0.664064658370896
"SPRY3",0.13639899137246,0.0853101623257543,3.62922113157908,0.000456929901502928,0.122522489302999,-0.181243894908333,-0.13639899137246
"GGT3P",0.224136755971627,0.0616597459324315,3.62478124598901,0.000463887314898685,0.123131624857653,-0.194725033725822,-0.224136755971627
"PAX8",1.52306203270189,1.25779034614223,3.61498600248263,0.000479593336378908,0.123987144085033,-0.224423438171274,-1.52306203270189
"LIMS4",0.750146947552935,0.479328340085349,3.60607180219396,0.00049432325541923,0.123987144085033,-0.251398360415301,-0.750146947552935
"INSYN2B",0.329802173451355,0.193268630157794,3.59797351874319,0.000508075405920349,0.123987144085033,-0.275861032299534,-0.329802173451355
"GRIP1",1.1928907359239,0.949376267435887,3.59565234108257,0.000512083427892083,0.123987144085033,-0.282865065938101,-1.1928907359239
"MFAP3L",0.70757206114221,0.654033236870897,3.58148056349091,0.000537210774281616,0.123987144085033,-0.325554069881115,-0.70757206114221
"ENC1",1.00169238268497,2.2369020313525,3.58075164314271,0.000538534232477439,0.123987144085033,-0.327746338805265,-1.00169238268497
